Symbol,Name,Market Cap,Country,IPO Year,Volume,Sector,Industry
A,Agilent Technologies Inc. Common Stock,36782293133,United States,1999,2091056,Industrials,Biotechnology: Laboratory Analytical Instruments
AA,Alcoa Corporation Common Stock ,7480456602,United States,2016,3000566,Industrials,Aluminum
AACG,ATA Creativity Global American Depositary Shares,26400107,China,2008,4060,Real Estate,Other Consumer Services
AACI,Armada Acquisition Corp. I Common Stock,0,United States,2021,546,Finance,Blank Checks
AACIW,Armada Acquisition Corp. I Warrant,0,United States,2021,1400,Finance,Blank Checks
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,0,,2023,464838,Finance,Blank Checks
AADI,Aadi Bioscience Inc. Common Stock,33639261,United States,,178420,Health Care,Biotechnology: Pharmaceutical Preparations
AAGR,African Agriculture Holdings Inc. Common Stock,10126695,United States,2021,774468,Consumer Staples,Farming/Seeds/Milling
AAGRW,African Agriculture Holdings Inc. Warrant,694402,United States,2021,15978,Consumer Staples,Farming/Seeds/Milling
AAL,American Airlines Group Inc. Common Stock,7171067460,United States,,32223320,Consumer Discretionary,Air Freight/Delivery Services
AAMC,Altisource Asset Management Corp Com,5466656,United States,,4463,Finance,Real Estate
AAME,Atlantic American Corporation Common Stock,31619625,United States,,3278,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock ,305642969,United States,2020,449458,Consumer Discretionary,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,332273748,United States,2013,2452448,Technology,Semiconductors
AAON,AAON Inc. Common Stock,7069176073,United States,,458520,Industrials,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,3535602212,United States,,1335670,Consumer Discretionary,Auto & Home Supply Stores
AAPL,Apple Inc. Common Stock,3.49341E+12,United States,1980,58975063,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,1338443482,United States,2011,193341,Real Estate,Real Estate Investment Trusts
AB,AllianceBernstein Holding L.P.  Units,3878710183,United States,,162731,Finance,Investment Managers
ABAT,American Battery Technology Company Common Stock,69731778,United States,,861618,Basic Materials,Metal Mining
ABBV,AbbVie Inc. Common Stock,2.94052E+11,United States,2012,3499576,Health Care,Biotechnology: Pharmaceutical Preparations
ABCB,Ameris Bancorp Common Stock,3359303909,United States,1994,357687,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,795728634,Canada,2020,1552467,Health Care,Pharmaceuticals and Biotechnology
ABEO,Abeona Therapeutics Inc. Common Stock,197692819,United States,,458275,Health Care,Biotechnology: Pharmaceutical Preparations
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),32452896565,Brazil,2013,9847617,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,4584544303,United States,2002,159009,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ABIO,ARCA biopharma Inc. Common Stock,50484858,United States,,79754,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABL,Abacus Life Inc. Class A Common Stock,535694148,United States,2020,73121,Finance,Investment Managers
ABLLL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes due 2028,1644159128,United States,,2240,Finance,Investment Managers
ABLLW,Abacus Life Inc. Warrant,40272949,United States,2020,3059,Finance,Investment Managers
ABLV,Able View Global Inc. Class B Ordinary Shares,47865933,China,,4277,Consumer Discretionary,Other Consumer Services
ABLVW,Able View Global Inc. Warrant,1088632,China,,240,Consumer Discretionary,Other Consumer Services
ABM,ABM Industries Incorporated Common Stock,3113703337,United States,,287773,Finance,Diversified Commercial Services
ABNB,Airbnb Inc. Class A Common Stock,97868898127,United States,2020,3227762,Finance,Diversified Commercial Services
ABOS,Acumen Pharmaceuticals Inc. Common Stock,138784287,United States,2021,314788,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABR,Arbor Realty Trust Common Stock,2806983287,United States,2004,1834670,Real Estate,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,,United States,,14711,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,,United States,,16074,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,,United States,,12885,,
ABSI,Absci Corporation Common Stock,373176108,United States,2021,2528057,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ABT,Abbott Laboratories Common Stock,1.77651E+11,United States,,4541572,Health Care,Biotechnology: Pharmaceutical Preparations
ABTS,Abits Group Inc Ordinary Shares,17421792,China,,19584,Technology,Computer Software: Programming Data Processing
ABUS,Arbutus Biopharma Corporation Common Stock,615218753,Canada,,1209288,Health Care,Biotechnology: Pharmaceutical Preparations
ABVC,ABVC BioPharma Inc. Common Stock,8144293,United States,,29245,Health Care,Biotechnology: Pharmaceutical Preparations
ABVE,Above Food Ingredients Inc. Common Stock,21465809,Canada,,96402,Consumer Staples,Packaged Foods
ABVEW,Above Food Ingredients Inc. Warrants,595421,Canada,,135742,Consumer Staples,Packaged Foods
ABVX,Abivax SA American Depositary Shares,824218975,France,2023,127288,Health Care,Biotechnology: Pharmaceutical Preparations
AC,Associated Capital Group Inc. Common Stock,641186633,United States,2015,11472,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,3959477336,United States,2018,175008,Industrials,Metal Fabrications
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,0,United States,2022,7,Finance,Blank Checks
ACABU,Atlantic Coastal Acquisition Corp. II Unit,0,United States,2022,40,Finance,Blank Checks
ACABW,Atlantic Coastal Acquisition Corp. II Warrant,0,United States,2022,7,Finance,Blank Checks
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,0,United States,2022,428,Finance,Blank Checks
ACACW,Acri Capital Acquisition Corporation Warrant,0,United States,2022,500,Finance,Blank Checks
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,2696404827,United States,1985,1706078,Health Care,Biotechnology: Pharmaceutical Preparations
ACB,Aurora Cannabis Inc. Common Shares,270016065,Canada,,1044119,Health Care, Medicinal Chemicals and Botanical Products 
ACCD,Accolade Inc. Common Stock,283229651,United States,2020,1455553,Consumer Discretionary,Business Services
ACCO,Acco Brands Corporation Common Stock,434204374,United States,,354973,Consumer Discretionary,Publishing
ACDC,ProFrac Holding Corp. Class A Common Stock,1149940192,United States,2022,604906,Energy,Oilfield Services/Equipment
ACEL,Accel Entertainment Inc. ,839974306,United States,2017,124329,Consumer Discretionary,Services-Misc. Amusement & Recreation
ACET,Adicet Bio Inc. Common Stock ,96142999,United States,2018,1962315,Health Care,Biotechnology: Pharmaceutical Preparations
ACGL,Arch Capital Group Ltd. Common Stock,36896063728,Bermuda,,1335119,Finance,Property-Casualty Insurers
